Region,diet_group,Percentage,Date,age_group,grouping,mean_ghgs,mean_land,mean_watscar,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_acid,mean_watuse,n_participants,Scaled GHGs,Scaled Land Use
London,vegan,4,2022-04-01,20-29,vegan_female_20-29,2383.216383473,4049.672932221,13526411.130525,138.213165716,198.465641654,109763.87161257,10489.060925259,411915.6576172,487000.0,95.32865533892,161.98691728884
London,vegan,4,2022-04-01,20-29,vegan_male_20-29,2843.22830886,4845.974177056,15880592.028433,161.167919652,230.182435952,124675.16425107,12428.286924933,492222.2786746,198000.0,113.72913235440001,193.83896708224003
London,vegan,4,2022-04-01,30-39,vegan_female_30-39,2540.393020847,4262.57299745,13977927.843938,151.392087424,212.639307399,123441.89220552,11007.468070412,425503.5996251,376000.0,101.61572083388,170.50291989800002
London,vegan,4,2022-04-01,30-39,vegan_male_30-39,2698.172418304,4490.25876692,15193403.25858,145.903105765,217.411423007,126109.66552563,11770.707828851,452753.2876556,251000.0,107.92689673216,179.6103506768
London,vegan,4,2022-04-01,40-49,vegan_female_40-49,2657.602421868,4525.625972831,15304059.745505,172.36196784,222.044143297,127590.25100421,11872.14351147,451688.2750781,219000.0,106.30409687472,181.02503891324
London,vegan,4,2022-04-01,40-49,vegan_male_40-49,2694.366019617,4553.663880856,14841207.695543,147.843090695,224.855780201,132012.33409226,11678.90812963,441906.1889351,165000.0,107.77464078468,182.14655523424
London,vegan,4,2022-04-01,50-59,vegan_female_50-59,2520.496825096,4427.549281559,15130223.558038,142.11403315,218.735418186,125142.39314571,11467.556763393,424692.8309056,106000.0,100.81987300384,177.10197126236
London,vegan,4,2022-04-01,50-59,vegan_male_50-59,2524.737409503,4413.799280802,14370528.918144,142.867339974,211.573632669,122925.27060284,11196.164372016,416335.442421,62000.0,100.98949638012,176.55197123208
London,vegan,4,2022-04-01,60-69,vegan_female_60-69,2633.644804226,4742.450322123,15675198.73058,145.497196981,223.279134154,128762.13270617,11907.675093925,439410.9382185,81000.0,105.34579216904,189.69801288492
London,vegan,4,2022-04-01,60-69,vegan_male_60-69,2427.010725764,4559.575998788,17095889.355713,108.715468958,213.271624774,117694.37134411,11452.590982967,477762.3619724,52000.0,97.08042903056001,182.38303995152
London,vegan,4,2022-04-01,70-79,vegan_female_70-79,2839.875594178,4757.807694581,16572485.297502,195.633864786,229.870085728,135010.84492166,12369.18122838,505930.7334576,25000.0,113.59502376712,190.31230778324
London,vegan,4,2022-04-01,70-79,vegan_male_70-79,2587.986805198,4499.38951313,16181930.817624,164.137273053,217.562651141,119285.6002036,11543.243117288,460111.6967641,19000.0,103.51947220792,179.9755805252
London,veggie,7,2022-04-01,20-29,veggie_female_20-29,4319.955997758,6207.026791511,15116316.008132,767.126570386,290.159041211,242831.49444475,20430.360412,545573.1476233,3752000.0,302.39691984306006,434.49187540577003
London,veggie,7,2022-04-01,20-29,veggie_male_20-29,4899.777121339,6903.258500653,16770457.919306,852.620861553,322.55469485,268229.958412,23130.38268794,609392.3080941,646000.0,342.98439849373,483.22809504571
London,veggie,7,2022-04-01,30-39,veggie_female_30-39,4367.724164195,6265.816777324,15473426.301768,766.631297929,293.230105402,248109.63180568,20834.74315878,547908.9722044,3634000.0,305.74069149365005,438.6071744126801
London,veggie,7,2022-04-01,30-39,veggie_male_30-39,4807.758162693,6787.162913364,16603476.202238,811.991240451,316.325517516,266148.8972905,22864.09092652,594307.0152665,1221000.0,336.54307138851,475.10140393548005
London,veggie,7,2022-04-01,40-49,veggie_female_40-49,4386.548303825,6317.881972941,15792643.373123,766.623857288,292.515519197,248886.96790858,21156.39647047,546728.9578291,2696000.0,307.05838126775006,442.25173810587
London,veggie,7,2022-04-01,40-49,veggie_male_40-49,4610.379492209,6610.474189688,16477661.724032,764.687251658,304.605360566,251351.9262479,21866.19864283,576240.6652619,961000.0,322.72656445463,462.73319327816
London,veggie,7,2022-04-01,50-59,veggie_female_50-59,4370.471444328,6310.075911589,16380318.605413,755.226412031,293.825073014,246156.87949091,21287.99944948,553108.3546952,1203000.0,305.93300110296,441.70531381123
London,veggie,7,2022-04-01,50-59,veggie_male_50-59,4455.095310198,6522.06762817,16333409.31528,733.031130896,299.52328766,244248.4288057,21186.60753071,559640.001432,426000.0,311.85667171386007,456.54473397190003
London,veggie,7,2022-04-01,60-69,veggie_female_60-69,4472.485087662,6476.280588035,16815591.083498,795.629508594,299.65654976,253656.31137871,21846.14780156,564219.2593341,536000.0,313.07395613634003,453.33964116245005
London,veggie,7,2022-04-01,60-69,veggie_male_60-69,4444.84358452,6628.730014408,16725207.749553,738.549691927,305.724163381,248603.8537398,21321.33244937,566825.9603656,229000.0,311.13905091640004,464.01110100856005
London,veggie,7,2022-04-01,70-79,veggie_female_70-79,4473.445256478,6632.652876176,17181322.996656,798.71889352,305.595039732,256697.8807305,21911.67941945,565183.8732052,289000.0,313.14116795346007,464.28570133232006
London,veggie,7,2022-04-01,70-79,veggie_male_70-79,4612.451445292,6842.65292261,17972881.278657,794.672849943,319.632836765,259421.3507273,22133.81134382,602571.5334267,158000.0,322.87160117044004,478.98570458270007
London,meat,18,2022-04-01,20-29,meat50-99_female_20-29,6913.346378262,11483.908972856,18869857.76377,1340.651639907,497.019244658,295261.4160434,31841.35588879,853067.0371684,669000.0,1244.40234808716,2067.1036151140797
London,meat,18,2022-04-01,20-29,meat50-99_male_20-29,7387.087141033,11813.753911057,20069386.41303,1416.736588672,526.701588659,315329.2617736,34217.01721679,903817.2185316,151000.0,1329.67568538594,2126.4757039902597
London,meat,18,2022-04-01,30-39,meat50-99_female_30-39,7135.58166656,11994.261494591,18849367.94149,1403.059285251,507.654792695,305726.5789884,32487.53444322,846420.7622289,1350000.0,1284.4046999808,2158.96706902638
London,meat,18,2022-04-01,30-39,meat50-99_male_30-39,7594.977983203,12457.481330451,20166206.75629,1484.898333897,543.7868378000001,327735.7784386,34928.18006258,894984.4505135,304000.0,1367.0960369765398,2242.34663948118
London,meat,18,2022-04-01,40-49,meat50-99_female_40-49,7484.151329541,13124.07017211,18754898.01195,1498.014684239,527.166375872,317036.7591402,33511.53700702,840702.2575298001,2710000.0,1347.1472393173801,2362.3326309798
London,meat,18,2022-04-01,40-49,meat50-99_male_40-49,7781.512620765,13684.227209555,19024795.00326,1541.129376513,553.747728038,330672.2034882,34776.60356647,825704.8464032,663000.0,1400.6722717377,2463.1608977199
London,meat,18,2022-04-01,50-59,meat50-99_female_50-59,7586.115661522,13376.78299764,18907620.02015,1532.156192509,530.448101187,317633.8983009,33984.66013005,853522.1349537,2682000.0,1365.50081907396,2407.8209395752
London,meat,18,2022-04-01,50-59,meat50-99_male_50-59,7752.900129514,13735.965671516,18955503.93538,1546.929675381,545.84339208,321302.9927782,34523.29983909,851293.1917815,671000.0,1395.5220233125199,2472.47382087288
London,meat,18,2022-04-01,60-69,meat50-99_female_60-69,7541.230540435,13030.556722137,19476050.05277,1527.971351039,529.024886747,317101.3936082,34295.80924761,885594.0181619,1456000.0,1357.4214972783,2345.50020998466
London,meat,18,2022-04-01,60-69,meat50-99_male_60-69,7835.827297245,13971.773399314,19187992.73848,1579.146512461,550.46982194,326034.4979316,34766.99641503,857247.7226442,634000.0,1410.4489135041001,2514.91921187652
London,meat,18,2022-04-01,70-79,meat50-99_female_70-79,7611.196494765,13551.47330904,19784739.88134,1554.789805749,541.96477774,324067.7818591,34070.38653639,884080.8362441,450000.0,1370.0153690577,2439.2651956272
London,meat,18,2022-04-01,70-79,meat50-99_male_70-79,8023.873929639,14815.728807134,19365564.25826,1649.471965289,567.785546484,329427.4206044,34587.44790741,870016.5619882,231000.0,1444.29730733502,2666.8311852841202
London,fish,4,2022-04-01,20-29,fish_female_20-29,4902.947125081,6489.030806882,17131963.351906,842.863531942,322.486106938,248135.21166088,22770.95614381,759237.2105686,1329000.0,196.11788500324002,259.56123227528
London,fish,4,2022-04-01,20-29,fish_male_20-29,5659.688871226,7381.889374139,19671024.653972,925.972458962,366.328778242,273612.3086798,26078.89770118,860979.7440421,163000.0,226.38755484904,295.27557496556
London,fish,4,2022-04-01,30-39,fish_female_30-39,4942.664483793,6515.886259015,17652628.539581,836.500414364,321.970771612,249827.68412553,23257.77137329,759629.6132108,2024000.0,197.70657935172,260.63545036060003
London,fish,4,2022-04-01,30-39,fish_male_30-39,5327.205952942,6977.105921564,18953095.158366,854.536975955,343.782185164,262360.838158,24710.1459431,818712.7748626,412000.0,213.08823811768002,279.08423686256
London,fish,4,2022-04-01,40-49,fish_female_40-49,4927.040172677,6540.681894736,17729964.755823,841.105793907,320.413037196,252846.9224143,23470.16991168,748488.7548866,1689000.0,197.08160690708,261.62727578944
London,fish,4,2022-04-01,40-49,fish_male_40-49,5201.802609349,6890.941560395,18288937.588674,844.988263568,334.051387364,258088.1295996,24020.1797372,782192.7528884,432000.0,208.07210437396,275.63766241580004
London,fish,4,2022-04-01,50-59,fish_female_50-59,4944.320333791,6566.172011315,18446193.258613,834.8812859450001,323.892204601,246789.91162713,23652.47351582,788932.2758300999,946000.0,197.77281335164,262.64688045260004
London,fish,4,2022-04-01,50-59,fish_male_50-59,5142.355789303,6693.609079474,18449190.579349,834.246073905,330.226228599,253040.5656441,24151.16507942,792176.8306866,214000.0,205.69423157212,267.74436317896004
London,fish,4,2022-04-01,60-69,fish_female_60-69,5103.822518681,6866.63521717,18922366.830964,879.670011677,336.023122898,258645.7589212,24455.23960965,819856.6042607,492000.0,204.15290074723998,274.6654086868
London,fish,4,2022-04-01,60-69,fish_male_60-69,5153.8266806130005,7048.903698705,18767057.425435,865.62521819,343.165849005,259654.8954935,24005.80233145,799061.3245367,159000.0,206.15306722452002,281.9561479482
London,fish,4,2022-04-01,70-79,fish_female_70-79,4990.762890714,6874.727609523,18969983.047527,856.399301444,339.623117706,259346.5740337,23791.25870694,798688.3514766,195000.0,199.63051562856,274.98910438092
London,fish,4,2022-04-01,70-79,fish_male_70-79,5303.953641929,7391.856969142,19804958.474144,901.249895287,357.981550402,265899.5933381,24857.3075777,854706.0662992,68000.0,212.15814567716,295.67427876568
London,high_meat,64,2022-04-01,20-29,meat 100+_female_20-29,10191.268743064,20378.573320193,22092641.19835,2111.090371546,757.689990564,387390.0835552,43737.42749378,971149.334013,393000.0,6522.41199556096,13042.286924923521
London,high_meat,64,2022-04-01,20-29,meat 100+_male_20-29,12104.782205645,24338.7929863,24385455.83032,2584.397436414,917.295174966,452814.6113061,52156.12012213,1060965.9213279,132000.0,7747.0606116128,15576.827511231999
London,high_meat,64,2022-04-01,20-29,meat <50_female_20-29,5386.15768943,8054.259510441,16975912.723162,1000.03505359,375.466776556,258610.2001502,25078.29222321,742815.8815584,764000.0,3447.1409212352,5154.72608668224
London,high_meat,64,2022-04-01,20-29,meat <50_male_20-29,5842.741220846,8781.104480255,17395332.484899,1087.363454556,407.855634625,277013.1676815,26935.57725525,749009.4254059,131000.0,3739.35438134144,5619.9068673632
London,high_meat,64,2022-04-01,30-39,meat 100+_female_30-39,10421.548409817,21112.200345029,22088092.34693,2165.169892297,764.294561514,394707.2268858,43952.59149038,963719.351362,778000.0,6669.790982282881,13511.80822081856
London,high_meat,64,2022-04-01,30-39,meat 100+_male_30-39,11178.862348943,22645.744469674,23344169.1093,2327.435899816,836.297882429,417294.5653328,46534.86610683,1020447.9221411,260000.0,7154.47190332352,14493.27646059136
London,high_meat,64,2022-04-01,30-39,meat <50_female_30-39,5489.000437973,8029.116429526,17506085.028828,1010.241531789,374.895624127,259545.3969077,25799.86944614,761775.1711725,1483000.0,3512.96028030272,5138.63451489664
London,high_meat,64,2022-04-01,30-39,meat <50_male_30-39,5923.054206147,8586.602547979,18760173.884984,1076.925132086,401.91142913,276550.6400937,27601.16384792,818591.9673994,370000.0,3790.75469193408,5495.425630706561
London,high_meat,64,2022-04-01,40-49,meat 100+_female_40-49,11242.124224869,23997.330527419,21672363.2331,2393.374592696,814.624172547,419277.1377179,45377.50285845,938614.0902881,1935000.0,7194.9595039161595,15358.291537548159
London,high_meat,64,2022-04-01,40-49,meat 100+_male_40-49,11493.864090238,24185.439015419,21888216.90015,2441.364133066,840.706541986,426420.5366705,46705.03078248,932619.2650626,616000.0,7356.07301775232,15478.68096986816
London,high_meat,64,2022-04-01,40-49,meat <50_female_40-49,5604.987137323,8371.516717811,17389599.271018,1050.075268647,382.423533526,264795.4058172,26272.91677703,756594.7246735,2093000.0,3587.19176788672,5357.7706993990405
London,high_meat,64,2022-04-01,40-49,meat <50_male_40-49,5898.524814835,8674.020430288,17926287.470579,1080.246619904,393.784828899,274409.1620408,27479.99024483,772622.978487,448000.0,3775.0558814944,5551.373075384319
London,high_meat,64,2022-04-01,50-59,meat 100+_female_50-59,11574.401589788,24934.026384375,21957748.79625,2485.821003823,827.111165117,424997.3254504,46340.11022442,960196.9119566,1753000.0,7407.61701746432,15957.776886
London,high_meat,64,2022-04-01,50-59,meat 100+_male_50-59,11678.040095756,24765.493737843,22196915.9694,2493.825428728,845.726470224,424304.5883251,47281.6909799,948052.3525954,591000.0,7473.94566128384,15849.915992219521
London,high_meat,64,2022-04-01,50-59,meat <50_female_50-59,5743.81054721,8589.148020467,17812886.235386,1089.556732367,390.634887094,265987.4302747,27165.03069295,789643.1718661,1698000.0,3676.0387502144,5497.05473309888
London,high_meat,64,2022-04-01,50-59,meat <50_male_50-59,5932.798636723,8887.673871456,17753366.154011,1115.071943874,403.593661543,280050.005136,27831.50148846,772424.4996164,410000.0,3796.99112750272,5688.11127773184
London,high_meat,64,2022-04-01,60-69,meat 100+_female_60-69,11520.473391645,24780.218875941,22267712.39392,2482.433462121,825.564782097,418759.1540763,46208.57629087,967902.3117247,843000.0,7373.102970652801,15859.34008060224
London,high_meat,64,2022-04-01,60-69,meat 100+_male_60-69,11450.175664626,24237.669950228,22420088.34903,2483.418445581,836.508023034,419968.938759,46820.10154528,963566.5072567,543000.0,7328.11242536064,15512.10876814592
London,high_meat,64,2022-04-01,60-69,meat <50_female_60-69,5861.660341356,8773.431483816,18049559.35338,1135.358131228,397.27727146,274485.89453,27929.01125211,803482.1626348,1047000.0,3751.46261846784,5614.99614964224
London,high_meat,64,2022-04-01,60-69,meat <50_male_60-69,5921.724590471,9083.406080365,17674902.74035,1126.481213163,406.294094112,275390.0345431,27691.49666903,794376.8012882,364000.0,3789.90373790144,5813.3798914336
London,high_meat,64,2022-04-01,70-79,meat 100+_female_70-79,11990.853394399,26031.131035218,22709031.90567,2635.513953897,858.69091702,432051.8215774,47783.48446735,980562.3297263,274000.0,7674.1461724153605,16659.92386253952
London,high_meat,64,2022-04-01,70-79,meat 100+_male_70-79,12263.987428482,26714.11593829,22944250.12484,2670.517895181,888.626578572,446023.654708,48459.35504749,982878.9450576,168000.0,7848.95195422848,17097.0342005056
London,high_meat,64,2022-04-01,70-79,meat <50_female_70-79,5836.04136184,8743.882449843,18143595.88405,1137.671005785,397.391549699,273304.9905213,27648.63836729,809873.8491242,381000.0,3735.0664715776,5596.084767899521
London,high_meat,64,2022-04-01,70-79,meat <50_male_70-79,6126.166528464,9377.144449959,18417879.232569,1192.354242117,414.881529855,291467.5388466,28641.06153772,816378.9792448,143000.0,3920.74657821696,6001.37244797376
London,none,3,2022-04-01,,,,,,,,,,,,,
